Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S217,Female,38,79.41533378975284,94,High School,No,No,63,Pass
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S454,Female,35,74.18774709662064,88,PhD,Yes,No,69,Pass
S289,Male,13,95.53430991278566,56,Bachelors,No,Yes,60,Pass
S126,Female,39,61.66082057749006,98,Bachelors,Yes,No,63,Pass
S461,Female,14,57.733607044161815,57,PhD,No,Yes,52,Fail
S069,Female,35,73.0059579491786,74,PhD,No,Yes,60,Pass
S431,Male,24,62.53653302807989,82,PhD,Yes,Yes,52,Fail
S139,Male,38,94.98236985725062,84,PhD,Yes,No,71,Pass
S033,Female,19,90.81928676065311,88,PhD,Yes,Yes,56,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S087,Female,16,67.7995742135993,95,High School,Yes,Yes,52,Fail
S172,Male,32,85.54762394183741,97,Bachelors,No,Yes,64,Pass
S005,Male,12,78.45407345828738,97,Masters,No,No,53,Fail
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S452,Female,37,97.70434682698166,55,High School,Yes,Yes,58,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S195,Male,37,89.71447249832312,94,Masters,Yes,Yes,66,Pass
S337,Male,21,81.24879935255261,50,Bachelors,Yes,Yes,55,Fail
S354,Female,15,76.32892333296469,66,PhD,No,Yes,50,Fail
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S470,Female,29,53.79667051848111,53,Bachelors,No,Yes,50,Fail
S106,Female,33,87.99777044687929,56,Masters,Yes,No,55,Fail
S015,Female,27,79.25747661627359,67,Masters,Yes,Yes,50,Fail
S311,Female,30,79.35341120682835,64,Masters,Yes,Yes,50,Fail
S073,Male,19,59.00336361746493,50,Bachelors,Yes,Yes,50,Fail
S469,Male,30,72.98407563805655,65,High School,No,No,54,Fail
S479,Male,15,89.5006779395928,67,High School,No,Yes,52,Fail
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S161,Male,25,50.26500031988027,64,Bachelors,No,No,50,Fail
S270,Male,26,64.3964808237863,53,High School,No,Yes,50,Fail
S024,Female,26,93.91103337395961,94,High School,No,No,65,Pass
S272,Female,22,95.59262044214825,66,PhD,Yes,No,50,Fail
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S177,Male,13,88.38897507214193,97,High School,No,Yes,59,Fail
S253,Female,19,72.85001096408392,79,Masters,No,No,53,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S192,Male,32,55.834803207084065,89,Bachelors,No,No,59,Fail
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S176,Female,14,85.36150478222223,86,High School,Yes,No,57,Fail
S493,Male,32,52.5797903329355,81,Masters,No,No,50,Fail
S447,Male,33,95.77568386459569,89,Masters,Yes,No,69,Pass
S129,Female,34,67.75521516396523,69,High School,Yes,Yes,52,Fail
S400,Male,37,88.98793873940154,74,Bachelors,Yes,Yes,64,Pass
S139,Male,38,94.98236985725062,84,PhD,Yes,No,71,Pass
S466,Male,26,70.63967753033762,56,PhD,No,Yes,55,Fail
S424,Male,29,74.87324469899453,82,PhD,Yes,No,60,Pass
