iter	RMSE
0	13.99443574
1	13.62712981
2	13.33300791
3	13.02823355
4	12.76664268
5	12.51477407
6	12.26663199
7	12.10206129
8	11.93620012
9	11.7127338
10	11.53437591
11	11.40746025
12	11.25069165
13	11.11204063
14	10.9761636
15	10.85071917
16	10.70411052
17	10.59827582
18	10.51078904
19	10.40638577
20	10.32195406
21	10.20529215
22	10.10022398
23	10.01944853
24	9.97180062
25	9.910249066
26	9.854226961
27	9.787493031
28	9.713711146
29	9.646218222
30	9.569917068
31	9.526507096
32	9.433077568
33	9.391413363
34	9.317943565
35	9.264912479
36	9.223521404
37	9.19902566
38	9.135769917
39	9.074909893
40	9.047545107
41	8.997099954
42	8.952373411
43	8.873802749
44	8.834626572
45	8.799339885
46	8.757349539
47	8.721085249
48	8.653330683
49	8.625235879
50	8.581803158
51	8.561392484
52	8.51583231
53	8.485894001
54	8.44681023
55	8.39399831
56	8.348629725
57	8.318144461
58	8.275409498
59	8.212860041
60	8.198446024
61	8.14257383
62	8.098938308
63	8.073298918
64	8.0455321
65	8.022710295
66	7.99961129
67	7.970634924
68	7.94166364
69	7.923525096
70	7.893319368
71	7.867261244
72	7.846919046
73	7.807636646
74	7.774366177
75	7.75650809
76	7.734707865
77	7.681252596
78	7.659672402
79	7.62904888
80	7.615051422
81	7.582250406
82	7.565095717
83	7.546428117
84	7.518627982
85	7.492364937
86	7.477927997
87	7.439180265
88	7.408984285
89	7.39592732
90	7.370267568
91	7.342950105
92	7.32583098
93	7.295684668
94	7.275455754
95	7.252948861
96	7.234297442
97	7.215725748
98	7.202798056
99	7.189099057
