iter	Passed	Remaining
0	2	241
1	4	226
2	6	212
3	8	201
4	10	200
5	12	199
6	14	195
7	16	191
8	18	190
9	21	190
10	23	187
11	25	184
12	27	182
13	29	178
14	31	177
15	33	175
16	35	173
17	37	170
18	39	167
19	41	164
20	43	162
21	44	159
22	46	156
23	48	154
24	50	150
25	52	148
26	54	146
27	56	144
28	58	142
29	59	139
30	62	139
31	64	137
32	66	135
33	68	133
34	70	131
35	72	129
36	74	127
37	76	125
38	78	123
39	80	121
40	83	119
41	85	117
42	87	115
43	89	113
44	91	112
45	94	110
46	96	108
47	98	106
48	100	105
49	103	103
50	105	101
51	107	99
52	109	97
53	112	95
54	114	93
55	117	92
56	119	90
57	122	88
58	124	86
59	128	85
60	131	83
61	135	83
62	138	81
63	141	79
64	143	77
65	146	75
66	148	73
67	151	71
68	153	69
69	155	66
70	158	64
71	160	62
72	162	60
73	165	58
74	167	55
75	169	53
76	172	51
77	174	49
78	176	47
79	179	44
80	181	42
81	183	40
82	185	38
83	188	35
84	190	33
85	192	31
86	195	29
87	197	26
88	199	24
89	202	22
90	204	20
91	207	18
92	209	15
93	212	13
94	214	11
95	216	9
96	219	6
97	221	4
98	223	2
99	226	0
