iter	RMSE
0	14.31420806
1	14.13749415
2	14.00096792
3	13.86095034
4	13.70635403
5	13.57205193
6	13.45752996
7	13.34744188
8	13.22863616
9	13.09621062
10	12.97009824
11	12.86821112
12	12.79176155
13	12.70990572
14	12.61027443
15	12.50645962
16	12.43081913
17	12.36631922
18	12.26838384
19	12.19605503
20	12.12500377
21	12.05326994
22	11.98360263
23	11.90442279
24	11.83961235
25	11.78918547
26	11.71738809
27	11.66283599
28	11.60572898
29	11.53166592
30	11.48278192
31	11.41186013
32	11.33778172
33	11.30251295
34	11.25579331
35	11.20822776
36	11.14691019
37	11.09528656
38	11.03542227
39	10.9804376
40	10.93452154
41	10.88872854
42	10.84760267
43	10.79422308
44	10.74639686
45	10.69380449
46	10.62026738
47	10.57016624
48	10.52650584
49	10.48308507
50	10.44384123
51	10.40674371
52	10.35560482
53	10.32111619
54	10.27226955
55	10.2276941
56	10.19601687
57	10.16291757
58	10.13549451
59	10.09350093
60	10.07391349
61	10.04423551
62	10.02673977
63	10.00655058
64	9.984223374
65	9.949413917
66	9.915573976
67	9.889093505
68	9.844119938
69	9.825586756
70	9.79997141
71	9.774378119
72	9.75181428
73	9.714275155
74	9.684716067
75	9.66559837
76	9.644695247
77	9.622433921
78	9.586988749
79	9.571524106
80	9.555093484
81	9.536245188
82	9.515540291
83	9.500455051
84	9.478146638
85	9.469329841
86	9.447500956
87	9.414365867
88	9.395586084
89	9.375909005
90	9.355284702
91	9.326985697
92	9.314216471
93	9.298964403
94	9.287960232
95	9.272311251
96	9.258036943
97	9.254199991
98	9.236988692
99	9.206673832
100	9.192634065
101	9.172722702
102	9.150247888
103	9.132652538
104	9.122358871
105	9.107421349
106	9.094495635
107	9.084786487
108	9.068324734
109	9.060049567
110	9.045565488
111	9.026608387
112	9.010023735
113	8.987611595
114	8.979936739
115	8.970329164
116	8.959715139
117	8.944647179
118	8.925798895
119	8.907516262
120	8.893456952
121	8.879951364
122	8.858698428
123	8.841419443
124	8.828031863
125	8.808475295
126	8.792505901
127	8.779886883
128	8.771869953
129	8.750449229
130	8.742767818
131	8.727350282
132	8.723775034
133	8.709056533
134	8.693326369
135	8.675630996
136	8.65686922
137	8.641370424
138	8.623537614
139	8.615642708
140	8.588341542
141	8.57901605
142	8.573796248
143	8.560882811
144	8.557728942
145	8.543462602
146	8.529588395
147	8.512464335
148	8.501580643
149	8.498327155
150	8.495319658
151	8.492921907
152	8.489071248
153	8.475211142
154	8.458064511
155	8.454782198
156	8.451741851
157	8.443418689
158	8.436889719
159	8.432238717
160	8.429082664
161	8.418053632
162	8.414812522
163	8.40814146
164	8.393419974
165	8.389753674
166	8.385299502
167	8.3598386
168	8.357975385
169	8.337515311
170	8.334037859
171	8.323530281
172	8.306004733
173	8.299414115
174	8.296080866
175	8.288086277
176	8.283915824
177	8.277931323
178	8.268849458
179	8.265161355
180	8.261860728
181	8.258717519
182	8.254845321
183	8.249818884
184	8.24212683
185	8.238250927
186	8.23334812
187	8.227971467
188	8.225699959
189	8.2213074
190	8.217905933
191	8.208309749
192	8.196234323
193	8.193702953
194	8.186000211
195	8.180709477
196	8.176729978
197	8.172022686
198	8.16825962
199	8.145701571
200	8.141572955
201	8.137397497
202	8.133508643
203	8.119377654
204	8.114885788
205	8.110636515
206	8.106808146
207	8.102516649
208	8.098534817
209	8.094309736
210	8.090308834
211	8.086474748
212	8.082022065
213	8.07812373
214	8.074268754
215	8.070287066
216	8.066415785
217	8.062031419
218	8.056727302
219	8.053074051
220	8.043866658
221	8.040082792
222	8.036130832
223	8.032341505
224	8.028973847
225	8.024804438
226	8.021152044
227	8.017309601
228	8.01358678
229	8.009807274
230	8.006060551
231	8.002283894
232	7.998424685
233	7.99485012
234	7.991053399
235	7.987419672
236	7.983712552
237	7.978002594
238	7.974420875
239	7.970842024
240	7.967320109
241	7.962333638
242	7.95240271
243	7.948743264
244	7.945183809
245	7.941639955
246	7.937987477
247	7.934443029
248	7.930975392
249	7.924974574
250	7.921479262
251	7.917947541
252	7.914407807
253	7.90856217
254	7.905129339
255	7.90179409
256	7.897694891
257	7.894296897
258	7.890825084
259	7.885367213
260	7.882000596
261	7.878673232
262	7.875316608
263	7.871933007
264	7.868611969
265	7.865267637
266	7.86096208
267	7.857634308
268	7.854304093
269	7.850994217
270	7.847689138
271	7.84444558
272	7.84120611
273	7.837968252
274	7.832629586
275	7.829408852
276	7.826150865
277	7.822971941
278	7.819754733
279	7.816550532
280	7.81090841
281	7.8052999
282	7.802039203
283	7.798860547
284	7.795714616
285	7.792585257
286	7.789449884
287	7.786307681
288	7.783187678
289	7.780055441
290	7.776942696
291	7.773824589
292	7.770702886
293	7.765753989
294	7.762655607
295	7.759573418
296	7.756499013
297	7.751640354
298	7.746433822
299	7.743379938
300	7.740320753
301	7.737269281
302	7.734213776
303	7.72908974
304	7.72604362
305	7.723007703
306	7.719976939
307	7.716960249
308	7.713952149
309	7.708626398
310	7.70562445
311	7.702620285
312	7.699631804
313	7.696636587
314	7.692035889
315	7.686868969
316	7.681773144
317	7.678783874
318	7.675808435
319	7.672847459
320	7.668289412
321	7.66533722
322	7.662387097
323	7.659437535
324	7.656491772
325	7.653561184
326	7.650642176
327	7.647730293
328	7.6447535
329	7.641855324
330	7.638939486
331	7.636038417
332	7.633138824
333	7.630265346
334	7.627404201
335	7.624535106
336	7.621678428
337	7.618809257
338	7.61596176
339	7.613113722
340	7.610288465
341	7.60585485
342	7.60303249
343	7.600219127
344	7.58022212
345	7.575787845
346	7.572932408
347	7.56782236
348	7.56500556
349	7.562194092
350	7.559396077
351	7.556600403
352	7.553811069
353	7.551007841
354	7.548236405
355	7.543970784
356	7.541202237
357	7.538423006
358	7.535670325
359	7.53291615
360	7.530153797
361	7.527409028
362	7.524670684
363	7.521921958
364	7.519203998
365	7.516489576
366	7.513780896
367	7.511079761
368	7.508376758
369	7.505663925
370	7.50296719
371	7.500269663
372	7.497591951
373	7.494919209
374	7.492252776
375	7.488054639
376	7.483910639
377	7.478819189
378	7.476149411
379	7.47348274
380	7.470818715
381	7.468164966
382	7.465515955
383	7.461431181
384	7.458789901
385	7.456153468
386	7.435727316
387	7.433079105
388	7.421122396
389	7.418462653
390	7.415832898
391	7.413216009
392	7.410605819
393	7.40799794
394	7.405397651
395	7.402797468
396	7.397822355
397	7.395217694
398	7.392618566
399	7.390040938
400	7.385963931
401	7.383388008
402	7.380814448
403	7.378232233
404	7.364584855
405	7.360569042
406	7.357990497
407	7.353208337
408	7.350639861
409	7.34806959
410	7.345510293
411	7.342965422
412	7.339107644
413	7.336564874
414	7.334024628
415	7.322438096
416	7.319877176
417	7.317342611
418	7.314814257
419	7.312281692
420	7.309752273
421	7.307228849
422	7.304709445
423	7.302203381
424	7.299699273
425	7.297199156
426	7.294694675
427	7.274953086
428	7.272431813
429	7.269926305
430	7.265704133
431	7.261372721
432	7.258870523
433	7.256373907
434	7.25384043
435	7.249064975
436	7.246574671
437	7.244103651
438	7.241625447
439	7.23916461
440	7.236695185
441	7.234243556
442	7.231794647
443	7.229336123
444	7.226884355
445	7.224432418
446	7.221988099
447	7.219546749
448	7.217120232
449	7.214688757
450	7.212262683
451	7.209848557
452	7.207423328
453	7.203755145
454	7.201346264
455	7.198933403
456	7.195227898
457	7.192825487
458	7.19041733
459	7.173101387
460	7.170680035
461	7.168279119
462	7.149857021
463	7.146170063
464	7.143757733
465	7.141341858
466	7.138954232
467	7.136575764
468	7.134203954
469	7.131822596
470	7.129447386
471	7.127077681
472	7.124727386
473	7.122373581
474	7.118199845
475	7.115848198
476	7.113501973
477	7.111149097
478	7.108817629
479	7.106490083
480	7.104165201
481	7.101845087
482	7.09952786
483	7.097201046
484	7.094891555
485	7.09258466
486	7.090281938
487	7.084468359
488	7.082159193
489	7.079862135
490	7.077554373
491	7.075264153
492	7.07297643
493	7.070679643
494	7.068391134
495	7.066107625
496	7.063834474
497	7.061549751
498	7.059283881
499	7.055729459
500	7.045669384
501	7.043395403
502	7.038917341
503	7.036640418
504	7.034378379
505	7.032120213
506	7.029855389
507	7.027593133
508	7.025337776
509	7.021902934
510	7.018391562
511	7.016137695
512	7.001724072
513	6.999467108
514	6.995429408
515	6.982660255
516	6.967058173
517	6.964803272
518	6.962562239
519	6.960326981
520	6.958080495
521	6.955851002
522	6.953618423
523	6.951385323
524	6.94917303
525	6.946952229
526	6.944750935
527	6.942539809
528	6.940343149
529	6.938148842
530	6.935945267
531	6.933759143
532	6.931575965
533	6.929394879
534	6.927205982
535	6.925031308
536	6.922849325
537	6.920673156
538	6.917204993
539	6.915040256
540	6.912877801
541	6.90948779
542	6.907325302
543	6.905164177
544	6.903008075
545	6.900855461
546	6.898694633
547	6.896537353
548	6.894383482
549	6.892234005
550	6.890087787
551	6.887952327
552	6.883942641
553	6.881797228
554	6.879666692
555	6.877527751
556	6.862816708
557	6.860678306
558	6.858548969
559	6.856425479
560	6.852585218
561	6.850465542
562	6.84834879
563	6.846233963
564	6.844123067
565	6.84200598
566	6.839890992
567	6.837780554
568	6.835673149
569	6.823538976
570	6.821438569
571	6.81781532
572	6.81572109
573	6.813620409
574	6.811529584
575	6.809441515
576	6.807355835
577	6.804116654
578	6.795009272
579	6.792923097
580	6.790842456
581	6.788763855
582	6.785526141
583	6.783441916
584	6.781369832
585	6.77928983
586	6.777215079
587	6.775144206
588	6.773070365
589	6.762339719
590	6.759207845
591	6.757137228
592	6.755075118
593	6.753018882
594	6.750956601
595	6.748871736
596	6.74680975
597	6.742849722
598	6.739092107
599	6.736027627
600	6.733977279
601	6.731931652
602	6.729888972
603	6.727816853
604	6.725773447
605	6.723734123
606	6.721701131
607	6.719666153
608	6.714771184
609	6.711708079
610	6.709664363
611	6.707623429
612	6.705592835
613	6.703540712
614	6.701505019
615	6.699440512
616	6.697420536
617	6.695403653
618	6.693381535
619	6.691368368
620	6.687474146
621	6.685457093
622	6.683444423
623	6.68144448
624	6.679445998
625	6.677448602
626	6.675453152
627	6.673461004
628	6.671460184
629	6.669471781
630	6.667478389
631	6.665488221
632	6.663498169
633	6.661512098
634	6.659529451
635	6.657547337
636	6.655567565
637	6.653597871
638	6.651631007
639	6.649656243
640	6.638072008
641	6.636087459
642	6.634110801
643	6.632149859
644	6.630192274
645	6.62823908
646	6.626287804
647	6.624338424
648	6.621359684
649	6.619402372
650	6.617450372
651	6.615501299
652	6.613555414
653	6.611609835
654	6.608453694
655	6.606509217
656	6.604568168
657	6.602637204
658	6.60070145
659	6.59877699
660	6.58861222
661	6.586677615
662	6.584751468
663	6.582818988
664	6.58089454
665	6.574435693
666	6.572508926
667	6.556657751
668	6.554725179
669	6.552801263
670	6.550879992
671	6.547884755
672	6.545964496
673	6.544047058
674	6.542138699
675	6.540231498
676	6.538315993
677	6.536405797
678	6.534505178
679	6.532598075
680	6.53070535
681	6.528807526
682	6.526913655
683	6.523173151
684	6.521279538
685	6.51013129
686	6.508233146
687	6.506335955
688	6.504442846
689	6.502558236
690	6.500670012
691	6.497810008
692	6.495916797
693	6.494030717
694	6.492142239
695	6.490260795
696	6.488385834
697	6.486509696
698	6.48463787
699	6.482767482
700	6.479877394
701	6.478014688
702	6.476142381
703	6.474284086
704	6.472420244
705	6.470565415
706	6.468712053
707	6.46685344
708	6.464997505
709	6.463143949
710	6.461299014
711	6.45945283
712	6.457608102
713	6.455769888
714	6.453927099
715	6.452086414
716	6.450241137
717	6.448409412
718	6.446580066
719	6.444752417
720	6.431692531
721	6.429858786
722	6.428025048
723	6.424620544
724	6.422798419
725	6.420970418
726	6.418117698
727	6.416285896
728	6.414466043
729	6.412619191
730	6.410800612
731	6.408983848
732	6.407169803
733	6.404410553
734	6.402601956
735	6.400785096
736	6.398973933
737	6.397173525
738	6.395368126
739	6.391892347
740	6.390094768
741	6.388298232
742	6.386472975
743	6.384639888
744	6.382846945
745	6.381050525
746	6.379256822
747	6.377464605
748	6.375680151
749	6.373897405
750	6.370351801
751	6.368562641
752	6.365782916
753	6.364001497
754	6.362213641
755	6.36043756
756	6.358662738
757	6.356890224
758	6.35511023
759	6.353339489
760	6.351571349
761	6.349804763
762	6.348031508
763	6.344550214
764	6.342778249
765	6.339042016
766	6.33726891
767	6.335498181
768	6.333737914
769	6.331972735
770	6.330181257
771	6.318893514
772	6.317122904
773	6.315367283
774	6.313613559
775	6.307683843
776	6.305930257
777	6.30323011
778	6.301476934
779	6.29971722
780	6.297960643
781	6.296214547
782	6.294463579
783	6.291754067
784	6.27753058
785	6.275772534
786	6.274015289
787	6.272271795
788	6.270533648
789	6.268790944
790	6.261923256
791	6.260181791
792	6.257889508
793	6.256151502
794	6.254392361
795	6.251701144
796	6.24996696
797	6.245454765
798	6.242613009
799	6.240880089
800	6.239150158
801	6.237426223
802	6.235700546
803	6.233982315
804	6.232268787
805	6.230547929
806	6.228838845
807	6.22624926
808	6.224530791
809	6.222792331
810	6.221078588
811	6.208334654
812	6.20660862
813	6.204893333
814	6.203188152
815	6.201480989
816	6.199774161
817	6.198074072
818	6.196371369
819	6.194665056
820	6.192966864
821	6.189927384
822	6.188235808
823	6.186541438
824	6.184848763
825	6.182293021
826	6.180606181
827	6.178895194
828	6.177206946
829	6.175525369
830	6.172024045
831	6.159559503
832	6.157842696
833	6.155202994
834	6.151991157
835	6.150298237
836	6.148608941
837	6.146914312
838	6.145235423
839	6.134836886
840	6.133125267
841	6.13144533
842	6.129766924
843	6.128065837
844	6.125411058
845	6.123712032
846	6.122033408
847	6.120360226
848	6.118686052
849	6.117016541
850	6.115349092
851	6.113681247
852	6.112015177
853	6.110353537
854	6.108693687
855	6.107031949
856	6.105374995
857	6.103720573
858	6.102045379
859	6.100381209
860	6.09872672
861	6.092966886
862	6.090444649
863	6.088792417
864	6.087139329
865	6.085487672
866	6.083837659
867	6.082191179
868	6.080546844
869	6.078904428
870	6.077263523
871	6.07558294
872	6.073943549
873	6.072306652
874	6.070674139
875	6.069039825
876	6.057880319
877	6.056235137
878	6.054598913
879	6.052965081
880	6.044904611
881	6.043268086
882	6.040785594
883	6.039153784
884	6.036006481
885	6.033568525
886	6.031924975
887	6.03029736
888	6.028673402
889	6.027050345
890	6.025431241
891	6.023812719
892	6.022197723
893	6.020583812
894	6.018171813
895	6.016556407
896	6.014945285
897	6.013333373
898	6.011722623
899	6.010114026
900	6.008506667
901	6.006900414
902	6.005296758
903	5.99703069
904	5.99542084
905	5.993803646
906	5.992202661
907	5.989132647
908	5.987520138
909	5.985922775
910	5.983243284
911	5.981647222
912	5.979503679
913	5.977910887
914	5.976316887
915	5.974727173
916	5.973138374
917	5.971539923
918	5.969953567
919	5.968369656
920	5.966787681
921	5.965206265
922	5.963621951
923	5.961229515
924	5.959651242
925	5.954219501
926	5.952640859
927	5.951063113
928	5.949481589
929	5.943861002
930	5.94088573
931	5.939308494
932	5.926230338
933	5.924625229
934	5.92304098
935	5.921462442
936	5.919880944
937	5.917837871
938	5.916239549
939	5.90905752
940	5.90748615
941	5.905913349
942	5.904337134
943	5.901949661
944	5.900380926
945	5.898818637
946	5.897258951
947	5.894859695
948	5.893295383
949	5.891738276
950	5.890177389
951	5.888614027
952	5.887034958
953	5.885483439
954	5.882919415
955	5.881369319
956	5.879821578
957	5.87827087
958	5.876716018
959	5.875163661
960	5.873615687
961	5.872069919
962	5.857071467
963	5.855526088
964	5.853196756
965	5.851649168
966	5.850109056
967	5.848570364
968	5.847032464
969	5.845495614
970	5.843952525
971	5.842418224
972	5.840878578
973	5.839341099
974	5.837812592
975	5.836279518
976	5.834754877
977	5.832442608
978	5.830912213
979	5.829384008
980	5.827865132
981	5.826347533
982	5.824831071
983	5.821923868
984	5.820407033
985	5.818890912
986	5.817375677
987	5.815854597
988	5.813554025
989	5.812032068
990	5.809522896
991	5.807268293
992	5.795535956
993	5.793979117
994	5.792456298
995	5.790935753
996	5.78844902
997	5.786931649
998	5.785417442
999	5.777513982
