iter	Passed	Remaining
0	2	2805
1	6	3140
2	9	3004
3	11	2859
4	14	2800
5	16	2738
6	19	2783
7	23	2955
8	26	2914
9	29	2888
10	31	2843
11	34	2820
12	36	2808
13	39	2815
14	42	2784
15	45	2791
16	48	2797
17	51	2809
18	54	2811
19	56	2790
20	59	2780
21	62	2763
22	64	2750
23	67	2764
24	71	2778
25	73	2757
26	76	2750
27	78	2738
28	81	2742
29	88	2869
30	93	2917
31	98	2971
32	101	2976
33	105	3010
34	109	3020
35	113	3031
36	116	3026
37	120	3056
38	125	3094
39	128	3084
40	131	3070
41	134	3068
42	137	3067
43	140	3061
44	148	3154
45	151	3148
46	154	3139
47	158	3144
48	161	3134
49	165	3135
50	168	3139
51	172	3136
52	175	3140
53	178	3133
54	183	3155
55	187	3157
56	190	3156
57	193	3146
58	197	3150
59	200	3140
60	203	3139
61	206	3131
62	210	3125
63	214	3140
64	218	3140
65	221	3139
66	225	3142
67	228	3135
68	233	3155
69	237	3156
70	240	3151
71	245	3166
72	249	3172
73	255	3191
74	258	3187
75	261	3182
76	264	3175
77	270	3197
78	274	3203
79	277	3194
80	281	3193
81	284	3184
82	289	3193
83	292	3186
84	295	3183
85	299	3182
86	303	3179
87	306	3176
88	309	3167
89	312	3160
90	315	3155
91	319	3156
92	322	3148
93	326	3143
94	330	3147
95	337	3174
96	341	3181
97	345	3180
98	350	3187
99	353	3180
100	356	3174
101	361	3179
102	364	3170
103	367	3163
104	370	3154
105	373	3150
106	376	3141
107	380	3141
108	384	3142
109	387	3134
110	391	3131
111	394	3125
112	397	3119
113	400	3112
114	404	3113
115	407	3106
116	411	3107
117	414	3099
118	418	3099
119	422	3095
120	424	3086
121	427	3079
122	431	3075
123	435	3077
124	439	3075
125	442	3072
126	445	3064
127	449	3065
128	454	3071
129	458	3065
130	461	3060
131	467	3075
132	470	3068
133	473	3062
134	476	3055
135	480	3051
136	483	3044
137	486	3041
138	491	3043
139	494	3038
140	497	3031
141	500	3023
142	505	3027
143	507	3019
144	511	3013
145	513	3005
146	516	2999
147	520	2996
148	523	2987
149	525	2980
150	528	2972
151	531	2964
152	536	2970
153	539	2961
154	542	2956
155	545	2949
156	548	2944
157	551	2936
158	553	2929
159	556	2922
160	559	2914
161	561	2906
162	565	2901
163	567	2894
164	570	2886
165	573	2880
166	575	2872
167	578	2865
168	580	2854
169	583	2848
170	585	2840
171	588	2834
172	591	2826
173	593	2818
174	597	2816
175	600	2809
176	602	2802
177	605	2796
178	609	2793
179	613	2792
180	615	2787
181	618	2780
182	621	2773
183	623	2766
184	627	2763
185	630	2757
186	633	2753
187	636	2749
188	638	2739
189	641	2733
190	644	2727
191	647	2723
192	651	2723
193	654	2717
194	656	2711
195	660	2707
196	662	2701
197	665	2694
198	669	2694
199	673	2692
200	675	2686
201	678	2679
202	681	2673
203	683	2667
204	686	2662
205	689	2656
206	692	2651
207	695	2647
208	698	2642
209	700	2636
210	703	2631
211	706	2626
212	709	2620
213	712	2616
214	715	2611
215	718	2607
216	721	2603
217	724	2597
218	727	2594
219	730	2589
220	734	2589
221	737	2586
222	742	2587
223	746	2586
224	750	2583
225	753	2579
226	756	2576
227	760	2574
228	765	2576
229	768	2572
230	772	2569
231	774	2564
232	777	2559
233	780	2554
234	783	2550
235	786	2546
236	791	2548
237	794	2544
238	797	2539
239	800	2535
240	804	2533
241	808	2531
242	811	2528
243	814	2525
244	818	2521
245	822	2519
246	824	2514
247	827	2510
248	830	2506
249	839	2517
250	842	2515
251	846	2512
252	849	2508
253	852	2504
254	856	2501
255	860	2499
256	863	2495
257	866	2491
258	870	2490
259	875	2490
260	878	2486
261	881	2483
262	884	2478
263	889	2479
264	892	2476
265	895	2472
266	899	2468
267	904	2470
268	907	2466
269	910	2461
270	913	2457
271	917	2455
272	936	2493
273	939	2488
274	941	2483
275	944	2478
276	948	2474
277	951	2470
278	953	2464
279	956	2460
280	959	2455
281	962	2450
282	966	2449
283	969	2444
284	972	2440
285	975	2436
286	979	2433
287	984	2433
288	987	2428
289	990	2424
290	992	2419
291	996	2415
292	998	2410
293	1001	2404
294	1004	2400
295	1007	2395
296	1013	2398
297	1017	2396
298	1020	2392
299	1023	2388
300	1027	2385
301	1029	2380
302	1034	2379
303	1038	2377
304	1041	2373
305	1044	2368
306	1046	2363
307	1051	2363
308	1054	2358
309	1058	2355
310	1060	2350
311	1064	2346
312	1067	2343
313	1070	2338
314	1073	2334
315	1076	2329
316	1079	2325
317	1082	2321
318	1085	2316
319	1088	2312
320	1090	2307
321	1093	2302
322	1096	2297
323	1098	2292
324	1101	2287
325	1104	2282
326	1106	2277
327	1109	2272
328	1111	2267
329	1114	2262
330	1116	2257
331	1120	2254
332	1123	2250
333	1126	2246
334	1129	2241
335	1131	2236
336	1134	2232
337	1137	2227
338	1139	2222
339	1142	2217
340	1145	2212
341	1147	2207
342	1150	2203
343	1153	2198
344	1155	2194
345	1159	2191
346	1161	2186
347	1164	2181
348	1167	2177
349	1169	2172
350	1172	2168
351	1175	2164
352	1178	2159
353	1180	2154
354	1183	2150
355	1186	2145
356	1189	2141
357	1191	2137
358	1194	2132
359	1197	2128
360	1200	2124
361	1202	2119
362	1205	2115
363	1208	2111
364	1210	2106
365	1213	2102
366	1216	2097
367	1218	2093
368	1221	2088
369	1224	2084
370	1226	2080
371	1230	2076
372	1232	2072
373	1236	2069
374	1238	2064
375	1241	2060
376	1244	2056
377	1246	2051
378	1249	2047
379	1252	2043
380	1255	2039
381	1258	2035
382	1261	2032
383	1264	2028
384	1267	2024
385	1270	2021
386	1273	2017
387	1276	2013
